title,soldPrice,link
Shop on eBay,20.0,https://ebay.com/itm/123456?hash=item28caef0a3a:g:E3kAAOSwlGJiMikD&amdata=enc%3AAQAHAAAAsJoWXGf0hxNZspTmhb8%2FTJCCurAWCHuXJ2Xi3S9cwXL6BX04zSEiVaDMCvsUbApftgXEAHGJU1ZGugZO%2FnW1U7Gb6vgoL%2BmXlqCbLkwoZfF3AUAK8YvJ5B4%2BnhFA7ID4dxpYs4jjExEnN5SR2g1mQe7QtLkmGt%2FZ%2FbH2W62cXPuKbf550ExbnBPO2QJyZTXYCuw5KVkMdFMDuoB4p3FwJKcSPzez5kyQyVjyiIq6PB2q%7Ctkp%3ABlBMULq7kqyXYA
"Raspberry Pi 400 Kit (microSD, Broadcom BCM2711, 1.80 GHz, 4GB, US layout)",119.99,https://www.ebay.com/itm/175526173678?epid=4042452699&hash=item28de2cdbee%3Ag%3AuIAAAOSwla5jk2Mn&amdata=enc%3AAQAHAAAAoKrYCQP%2B6IZkgHYjyESSC0AO5ljO0i8kwfPU2%2FlGvYzUxVMDwJFAMfkuRln7Yb9wzEjiOEM4sPG6iiHt2eGXjsQlXsCWgr9u26VqNiBGEJXxTRyY8DH%2BNh8JPWB9iCiAMCDeVEKLoEidu8rKMBDX4Q202DxxuygvvSSvjwV%2FW8IhWrrY4y55wwU7unk4H%2FP29HlGrf2ib07HKWtn8yOUVMM%3D%7Ctkp%3ABk9SR9rCwZ6iYQ&LH_Auction=1
New ListingRaspberry Pi 4 Model B 8GB RAM 64 Bit QUAD CORE A72 with Cana Kit,125.0,https://www.ebay.com/itm/204185756175?epid=25038989444&hash=item2f8a6b620f%3Ag%3AoSoAAOSwhiNjmPLV&amdata=enc%3AAQAHAAAAoCE0Ipm6SIgmiSgoJIxBhJz5DRk1FI35IswzWWSC%2FoX3OAew%2Bf2ULSZo1fj0DotqxGuu9KBzoLs9rgDnt9RvVtzKH2HXylR%2B9KPjpjVKWvMyxSYtJAKNUTJw8jqva1%2BTxO5veismF5f3y2iwUAcKz56oedQYd4S6PHbDyRz1iKMln3Qg8d2UTC%2FS%2BoGnDUoJbswHya9yFBmXR9%2B%2F3sTvmU4%3D%7Ctkp%3ABk9SR9rCwZ6iYQ&LH_Auction=1
Raspberry Pi 4 Model B 2GB RAM Computer Brand New Sealed,91.0,https://www.ebay.com/itm/374392103596?hash=item572b8222ac%3Ag%3Av%7EwAAOSwVqVjj8LB&amdata=enc%3AAQAHAAAAoLiYik4gOFCDG7nlmHUuAWAiyTMG0xYfV%2B33xhA93RowU8ADLJPrLgCaDAcK%2BObnY%2FohZ%2FulUjaDiab7nBCMzX2QR5Yxb8c%2BNjr6pNMXPKo59eBuei7PMAZWPplqftF1lIOGqmkDjwEZdtGQhg4d8KxXxmjsncG%2FNQac1KvjrM3ZNquX8u1cvqn4uFo3T4%2FzuJ6zX0mgbNbjl58k6EcbEPc%3D%7Ctkp%3ABk9SR9rCwZ6iYQ&LH_Auction=1
Raspberry Pi 4 Model B 2GB RAM Quad core 64-bit Kit NEW,95.0,https://www.ebay.com/itm/385272122800?epid=10033925711&hash=item59b4020db0%3Ag%3ACkEAAOSwH05iyc0z&amdata=enc%3AAQAHAAAAoBRCjKADDAsom5kRnxrCLdCkKo593lYYeV%2B840f3eQF7kw2QGb%2FBGKqiq%2F0zSHUEbZppyVJUxNvKhmjNZMjqSSy5oh686HtVNLAnxgZPW%2BxN7tVI40N%2BIFOcpI%2Blz8fhmBQgA%2FQpERo9iRBghExcpYw09MPfM%2BthJwk%2F7zsngamPqbC570atNpoYmyWlYlWZirrL%2Fz5V4ow%2BlnxpffoFwyw%3D%7Ctkp%3ABk9SR9zCwZ6iYQ&LH_Auction=1
Raspberry Pi Zero - 2 New and Used Pi Zero v1.2 Kit  with 4 new Cases,49.99,https://www.ebay.com/itm/266037741196?epid=22052585051&hash=item3df115c68c%3Ag%3AkZEAAOSwKYtjlycw&amdata=enc%3AAQAHAAAAoF8vdUy0UzcQtbaDPD4WEV9ia8xO1QD5ZN%2F4tnSYxEJKzXXw8HL%2FmB9hz9r1FMnBZABPMiOlWTpOlMcxcH2PLUz5vciTAaMhNTqEUcT4PFRv%2Fkl8vf0nCOwyay36vF0MKIiZEeD55Zo2T4HzgSUr3srO7pXsGddwuHAZkHN5i72OYYAWZzNqXC1VK%2Fozx%2ByP1CmbDcaLwtWPHIxLFK%2Bv6GU%3D%7Ctkp%3ABk9SR9zCwZ6iYQ&LH_Auction=1
Vilros Raspberry Pi 4 4GB Basic Starter Kit with Fan-Cooled Heavy-Duty Aluminum,94.0,https://www.ebay.com/itm/285064031872?hash=item425f23ee80%3Ag%3AxV0AAOSwBdNjjaqI&amdata=enc%3AAQAHAAAAoIv%2BhPbMFXRa%2FqbzyirSFpAEqqZmMDQF1sXEvSvqCJ8VS82ruAxMWAkDHryLo781HaQB%2BjDGxSFz%2BPKllTbdyv2z5aOOrkkziytHMaTralolr5xyxQ7Udy%2BBOH3CQJF2SCt52kXgJ0JTOQzpbVPkZoPBX1pkum%2FoayvrRCQJyTWsIJE1rSvRwl2iOp8MTpS946vEPz7m%2BoqadAJXDPyOAHw%3D%7Ctkp%3ABk9SR9zCwZ6iYQ&LH_Auction=1
Raspberry Pi 4 8GB DDR4 RAM Single Board Computer 32 GB EVO+ Kit,147.5,https://www.ebay.com/itm/255866333391?epid=18047669553&hash=item3b92d268cf%3Ag%3ATAMAAOSwQJNjkCnq&amdata=enc%3AAQAHAAAAoBhzUjebu2DViOHWMPAfs8DgM9UX12Nfv59u66wgdfXn2GJKfUrq6ETYlmXDtrltXEmB2VOzu%2BMYaz%2FgYxuE4zKyXkIpiT5Ym1lny2deey%2FtiYqGZxGV%2FLqNvZ1qFSVf3raDISMXw9fyzGShY9GyLIBbXv7LUymM9cSzUSvZtMSACZh17vPsgMFZqJk9GHHwSy%2FtHyE%2Fuj1lrxHlzhFgHkM%3D%7Ctkp%3ABk9SR9zCwZ6iYQ&LH_Auction=1
canakit raspberry pi 4 starter kit 2gb Clear Case,103.5,https://www.ebay.com/itm/175519371054?hash=item28ddc50f2e%3Ag%3AgIIAAOSw41hjjTlS&amdata=enc%3AAQAHAAAAoCXn2CTHujtl72y2Vb0RHLOdUOtQHf10aeMXFsas2VSD%2FD252k0uHGax91K1St2Sz0GRFSvhK2Fw3qMMk1xSP7YJVur8pP6wEC7b8dLHN4jvuhGei%2BrshV3biRVdBH1vSR4iRlAa4qUJUOMmQQpN2cxp5%2FMdCWsR3W%2FZE4yb7NygdN3vBZyCApzFvHLd6h8YeJdsm2%2Fajjtuc1ACkmOvlrQ%3D%7Ctkp%3ABk9SR9zCwZ6iYQ&LH_Auction=1
raspberry pi 4 8gb kit for Parts or Repair,102.5,https://www.ebay.com/itm/385287189823?hash=item59b4e7f53f%3Ag%3ABeAAAOSwGpdjlQMY&amdata=enc%3AAQAHAAAAoHIeTUiXdlAjCBW4RVhxMXyyRHYWEGGa7dmFlyh6N%2FbE9W%2F3xtdMVbRyOa7WJywdWMWszZwATWpErb6mx9xhe5zcy2MRyzXrtrYrU10soe2OP9FjjwCSUQMjdCPcjBMTqMMTgCWPgfPL%2BB1%2F0QoBHudJ0rRwmfJlStRWDHgCLpSmfeCddCE4G62KWJIDnNUvUbqL1vh9xPcLiVQvSa%2FJ%2FNk%3D%7Ctkp%3ABk9SR9zCwZ6iYQ&LH_Auction=1
raspberry pi Starter Kit With 4B-4GB 1349-4GB Raspbian OS 5.1v 3.0A USB microSD,132.5,https://www.ebay.com/itm/165814230756?hash=item269b4c5ee4%3Ag%3AsFUAAOSw7KFjjOsL&amdata=enc%3AAQAHAAAAoB3Y39knzmygfxvCKQa2XQeBQaIyFJS4S9liESYr06tsns8T%2FkQWcSoCK5Kp%2BSMzYPqA3MpQvVolTbUVasdBKiP7Y%2B4V5PaerpRaLUrnxOSdXtOxWtwJxEN3mRc9yyTXuYH9HuRHLpSgNHQFDDAP3Cr4igGQwhKCKN9wVaAyyeIc2y4ytwg%2Fq%2BOLd0j92G3B4mUJ6F1cRnpVBj9gTjKB9ik%3D%7Ctkp%3ABk9SR9zCwZ6iYQ&LH_Auction=1
Vilros Raspberry Pi 4 4GB Basic Starter Kit with Fan-Cooled Heavy-Duty Aluminum,147.0,https://www.ebay.com/itm/144844286981?hash=item21b9646c05%3Ag%3AAkcAAOSwY5ljkIEc&amdata=enc%3AAQAHAAAAoLovnJCXHF4L8ajU9qISHnLs5yw78ZuAGBpHVzsFac5HZP0n%2FOiX%2BVF%2BqjJdbskOZtrX9tbuv0yZH8m5Z609tQUhisB%2B4HnYbJ9XhbONWL%2FNukziPHbs%2FwNQVYaxfSSVHH9JmG%2F0kAGLcbg%2FafeqhGSRm6DridZTTGYWlvMRAO7smcNp6qGfW%2FrgO7sqh7vYq%2Bk5SXEFdIsPoOCvrD%2BMFkY%3D%7Ctkp%3ABk9SR9zCwZ6iYQ&LH_Auction=1
CanaKit Raspberry Pi 4 8GB Desktop Kit with Display PI4-8GB-DSK32W-BLK MSRP $269,180.5,https://www.ebay.com/itm/165816755162?hash=item269b72e3da%3Ag%3AXzIAAOSwyo1jiuL6&amdata=enc%3AAQAHAAAAoNnz9aUpO%2FHkUtUpDrgfcpEs3Y4j%2Fjv0FujG6P%2BhnOhrALAtFQReyk9ybB7kbvkWHmdAsyeTeg1PE%2BwlaJj0kslyUVMYhhw4cNoN1C1Qmfm8HESDHpmRqoPBXF8Gc16eDDNUCNQ81jULnePckPvZibwMOp%2BlHEKapFvPQ7BrHBlbgC%2F%2FvRbnd6i8YfJwbp7sulEZ8GUd3n4czm209KQk92c%3D%7Ctkp%3ABk9SR9zCwZ6iYQ&LH_Auction=1
Raspberry Pi 4 Model-B 4GB RAM  Desktop Kit Comes With Camera Mouse And Keyboard,139.0,https://www.ebay.com/itm/234805906308?hash=item36ab85cb84%3Ag%3AgHIAAOSwOM1ji6WL&amdata=enc%3AAQAHAAAAoIJbGvSJlbg98KIsXiXItbFZrIxqtuu588voVZeaRCuat3j1o33YcK0xnV42zLo%2BalDEpJYVxbzUknesrcqqAVqwUKT4E7O23DuaVt1mXREplLg9F1dwpGlvYrZP2jgaAkFaAru4mC88Uiu5pMFvDtg6soOzwIch0VJFCUh3CtPztaRfnmiRJGP%2F5%2Bv2mTkOTptyY1%2FU5AGRaxK9rTkj4Eg%3D%7Ctkp%3ABk9SR9zCwZ6iYQ&LH_Auction=1
Canakit Raspberry Pi 4 complete starter kit 4gb ram 128GB SD Card,110.5,https://www.ebay.com/itm/404039399935?hash=item5e129ff9ff%3Ag%3AmPkAAOSwiF1jK6LW&amdata=enc%3AAQAHAAAAoHvv%2FTgiVQO79iSnpuQq5%2BIR8Ob7t3PF%2FU%2BeonVTVQ%2BMYuinSY0P6JRtUgPyTfocQAGXc1gAiUSrLs0SiSMyTtGdc6JLa%2BEOeBzlrtFDtw0Bvx1d5JH7WZn6jntrlQoTasOkBzznKypqWRD%2F%2BfOTMo36%2BPz5n8jqssHhU8jkqlotkGL6QJR3jNZ8T82S53ee%2BuLd8M5nRMWgLY1t1NgihP8%3D%7Ctkp%3ABk9SR9zCwZ6iYQ&LH_Auction=1
